experiment_id,model_id,mod_code,class_label,precision,recall,f1,support,tp,fp,fn
exp-a4-v2,xgboost,MOD-6,11,0.7949790794979079,0.7916666666666666,0.7933194154488519,480,380,98,100
exp-a4-v2,xgboost,MOD-6,12,0.0,0.0,0.0,0,0,254,0
exp-a4-v2,xgboost,MOD-6,13,0.9626168224299065,0.42916666666666664,0.5936599423631124,480,206,8,274
exp-a4-v2,xgboost,MOD-6,14,0.9936061381074168,0.809375,0.8920780711825488,960,777,5,183
exp-a4-v2,xgboost,MOD-6,15,0.20684292379471228,0.27708333333333335,0.23686553873552985,480,133,510,347
exp-a4-v2,xgboost,MOD-6,16,0.0,0.0,0.0,0,0,233,0
exp-a4-v2,xgboost,MOD-6,17,0.0,0.0,0.0,0,0,28,0
exp-a4-v2,xgboost,MOD-6,18,0.9954614220877458,0.6854166666666667,0.811844540407156,960,658,3,302
exp-a4-v2,xgboost,MOD-6,19,0.8104838709677419,0.8375,0.8237704918032787,480,402,94,78
exp-a4-v2,xgboost,MOD-6,20,0.7575057736720554,0.6833333333333333,0.7185104052573932,480,328,105,152
